response,freq,HS,activity,logRT,logPrej,pid,trial,patchnum,numwithinpatch,switchornot,cue_transitions,patchnum2,numwithinpatch2
tiger,8.281227,15.957723,0.58249664,1.09894556645823,-2.5228891,6,7,5,3,1,1.0,4,0
bear,9.4697275,15.455345,-0.5030153,0.0009995003330834232,-0.8906442,6,8,6,1,1,3.0,4,1
mouse,8.734669,13.1154585,0.2110622,0.0009995003330834232,-1.2505596,6,9,7,1,0,2.0,5,0
rat,8.843021,15.928724,-0.05801153,0.0009995003330834232,-1.7137637,6,10,7,2,1,1.0,6,0
sheep,9.106964,13.147103,-1.2447839,0.6936470556015963,-0.90904105,6,11,8,1,0,2.0,7,0
lamb,8.637704,15.92455,-3.2459736,0.0009995003330834232,-1.5385714,6,12,8,2,0,1.0,8,0
pig,8.733592,14.522991,-0.43317556,0.0009995003330834232,-1.2248776,6,13,8,3,0,3.0,8,1
donkey,7.790762,14.444153,-1.4337559,1.09894556645823,-1.0946658,6,14,8,4,0,3.0,8,2
goose,8.162916,12.989074,-0.26029122,0.6936470556015963,-0.9295027,6,15,8,5,0,2.0,9,0
rooster,7.276048,14.558886,-1.0692179,0.6936470556015963,-1.322419,6,16,8,6,1,1.0,10,0
monkey,8.25998,12.105595,1.4139525,1.6096378924367667,-1.0614492,6,17,9,1,0,2.0,11,0
gorilla,7.3137183,14.176,0.44351846,0.6936470556015963,-2.0603714,6,18,9,2,0,1.0,12,0
giraffe,7.0409007,13.125644,1.7233582,1.09894556645823,-1.1598012,6,19,9,3,1,2.0,13,0
penguin,8.166074,13.363382,0.13859695,0.6936470556015963,-1.2011998,6,20,10,1,0,0.0,14,0
dolphin,7.705347,12.469675,1.1312795,0.6936470556015963,-1.5517341,6,21,10,2,0,0.0,15,0
whale,8.224764,15.366442,0.87034935,0.0009995003330834232,-2.4120893,6,22,10,3,0,1.0,16,0
fish,9.652773,13.322374,0.4094454,0.0009995003330834232,-1.6169302,6,23,10,4,0,2.0,17,0
crab,8.06861,12.342373,0.1938008,0.0009995003330834232,-2.461138,6,24,10,5,0,0.0,18,0
turtle,8.067716,11.962271,0.9358722,0.6936470556015963,-2.1342747,6,25,10,6,0,0.0,19,0
seahorse,6.230598,12.643383,-0.16041434,1.7919261220073759,-1.9254742,6,26,10,7,1,1.0,20,0
fox,8.901891,11.7667265,-1.256597,2.639128755635788,-0.96378857,6,27,11,1,0,2.0,21,0
rabbit,8.530918,13.217247,-0.7450187,1.7919261220073759,-0.7272748,6,28,11,2,0,0.0,22,0
